"Filename","Total_Copies","Content_Status","Unique_Versions","File_Size_KB","Paths"
".gitattributes","2","DIFFERENT VERSIONS","2","0.06",".gitattributes; MICRO HYDRO NEW\MicroHydroV1\.gitattributes"
".gitkeep","7","IDENTICAL","1","0","MICRO HYDRO NEW\MicroHydroV1\archive\.gitkeep; MICRO HYDRO NEW\MicroHydroV1\cad\exports\.gitkeep; MICRO HYDRO NEW\MicroHydroV1\tests\processed\.gitkeep; MICRO HYDRO NEW\MicroHydroV1\tests\raw\.gitkeep; MICRO HYDRO NEW\MicroHydroV1\tests\results\drawings\.gitkeep; MICRO HYDRO NEW\MicroHydroV1\tests\results\summary\.gitkeep; MICRO HYDRO NEW\MicroHydroV1\workspace\.gitkeep"
"apply_optimized_params.py","2","IDENTICAL","1","1.97","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\cad\apply_optimized_params.py; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\cad\apply_optimized_params.py"
"architecture_diagram.png","6","IDENTICAL","1","1820.74","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\architecture_diagram.png; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\docs\architecture_diagram.png; MicroHydroV1 — SoT\MicroHydroV1\docs\architecture_diagram.png; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\docs\architecture_diagram.png; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\docs\architecture_diagram.png; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\docs\architecture_diagram.png"
"autofill_evidence_doc.py","14","DIFFERENT VERSIONS","3","12.44","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py"
"Bench_Test_Results_Summary.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Bench_Test_Results_Summary.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Bench_Test_Results_Summary.docx"
"Bench_Test_Tracker.xlsx","2","IDENTICAL","1","8.26","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Bench_Test_Tracker.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Bench_Test_Tracker.xlsx"
"build_all_use_optimized.FCMacro","2","IDENTICAL","1","0.7","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\cad\build_all_use_optimized.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\cad\build_all_use_optimized.FCMacro"
"build_all.FCMacro","12","DIFFERENT VERSIONS","6","0.03","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\build_all.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\build_all.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull\build_all.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD_FIXED\build_all.FCMacro; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\01_CAD\macros\build_all.FCMacro; MICRO HYDRO NEW\MicroHydroV1\cad\macros\build_all.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\build_all.FCMacro; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\cad\macros\build_all.FCMacro; MicroHydroV1 — SoT\MicroHydroV1\cad\macros\build_all.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\cad\macros\build_all.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\cad\macros\build_all.FCMacro; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\cad\macros\build_all.FCMacro"
"build_all.FCMacro.docx","3","DIFFERENT VERSIONS","2","15.77","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\build_all.FCMacro.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\build_all.FCMacro.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\build_all.FCMacro.docx"
