Filename,Total_Copies,Content_Status,Unique_Versions,File_Size_KB,Paths_Summary
NOZZLE_DATA_RUN2.xlsx,2,IDENTICAL,1,125,"MASTER_PRODUCTION_PACKAGE/...; MASTER_PRODUCTION_PACKAGE 2/..."
Nozzle_PreSwirl_BOM.xlsx,2,DIFFERENT,2,85,"MASTER_PRODUCTION_PACKAGE/10_Design_VNext/...; MASTER_PRODUCTION_PACKAGE 2/10_Design_VNext/..."
Nozzle_Profile_Revolve.dxf,2,DIFFERENT,2,42,"MicroHydroV1_Shapr3D_ReferenceModel/DXF/; MicroHydroV1_Shapr3D_ReferenceModel_v2/DXF_R12/"
NOZZLE_Sweep_RUN2.docx,2,DIFFERENT,2,185,"MASTER_PRODUCTION_PACKAGE/07_Turbine_Optimization_Unit/; MASTER_PRODUCTION_PACKAGE 2/07_Turbine_Optimization_Unit/"
opt_config.json,6,IDENTICAL,1,3,"tools/optimize/ (6 copies across SoT, Backup, Work/01, Work/02, Work/_stage)"
optimize_params.py,6,IDENTICAL,1,4,"tools/optimize/ (6 copies across SoT, Backup, Work/01, Work/02, Work/_stage)"
Parametric_Values.md,2,DIFFERENT,2,8,"MicroHydroV1_Shapr3D_ReferenceModel/Docs/; MicroHydroV1_Shapr3D_ReferenceModel_v2/Docs/"
params.json,24,DIFFERENT,8,24,"Multiple locations: CAD params, CAD macros, Old packages, SoT, Reference models - version evolution"
PASS_A_FULL_Populated_v2.docx,2,DIFFERENT,2,245,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/14_Reports/"
PASS_A_FULL_RevA.docx,7,DIFFERENT,3,258,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/14_Reports/; MicroHydroV1 — SoT/docs/; (5 more in Work/)"
PASS_A_FULL.docx,2,IDENTICAL,1,225,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/14_Reports/"
patched_macros_with_params.zip,2,DIFFERENT,2,542,"MASTER_PRODUCTION_PACKAGE/CAD Archive/; MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/09_Packages/"
Patent_Index.xlsx,2,IDENTICAL,1,38,"MASTER_PRODUCTION_PACKAGE/12_Patents/; MASTER_PRODUCTION_PACKAGE 2/12_Patents/"
PATENT_PASSB_Full.docx,2,IDENTICAL,1,189,"MASTER_PRODUCTION_PACKAGE/12_Patents/; MASTER_PRODUCTION_PACKAGE 2/12_Patents/"
PENSTOCK_FLOW_DATA.xlsx,2,IDENTICAL,1,145,"MASTER_PRODUCTION_PACKAGE/06_Penstock_Flow_Unit/; MASTER_PRODUCTION_PACKAGE 2/06_Penstock_Flow_Unit/"
PENSTOCK_Selection_RUN2.docx,2,IDENTICAL,1,172,"MASTER_PRODUCTION_PACKAGE/06_Penstock_Flow_Unit/; MASTER_PRODUCTION_PACKAGE 2/06_Penstock_Flow_Unit/"
plot_t002_psd_peakiness.py,10,IDENTICAL,1,5,"Multiple addon locations (RUN3 AutoFill v0.3.0, RunID Baseline)"
policy_config.json,2,IDENTICAL,1,2,"MicroHydroV1_Work/MasterIntegrated_Output/05_Tools/; MicroHydroV1_Work/tools/"
PowerAutomate_Flows_SoT_to_Release.md,2,IDENTICAL,1,6,"MicroHydroV1 — SoT/MicroHydroV1/docs/automation/; Work/02_Canonical_Working_Tree/MicroHydroV1/"
Program_Readout_Executive_Summary.docx,2,IDENTICAL,1,208,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/14_Reports/"
PT_Calibration_PressurePa_TimeS_100Hz.xlsx,2,IDENTICAL,1,35,"MicroHydroV1 — SoT/MicroHydroV1/docs/templates/; Work/02_Canonical_Working_Tree/docs/templates/"
README_AUTOFILL.md,10,DIFFERENT,2,8,"RUN3 AutoFill Evidence (PLUS & BASELINE) - multiple locations with versions"
README_Calibration_and_AutoEmbed.md,2,IDENTICAL,1,5,"MicroHydroV1 — SoT/MicroHydroV1/docs/automation/; Work/02_Canonical_Working_Tree/"
README_DO_ALL.md,2,IDENTICAL,1,4,"MicroHydroV1 — SoT/MicroHydroV1/docs/automation/; Work/02_Canonical_Working_Tree/"
README_IMPORT.md,2,IDENTICAL,1,3,"MASTER_PRODUCTION_PACKAGE/New Folder With Items/; MASTER_PRODUCTION_PACKAGE 2/"
README_Importer_RunID_Patch.md,7,DIFFERENT,1,4,"Addon docs (Importer RunID Patch) - multiple deployment stages"
README_RunID_Migration.md,7,DIFFERENT,1,5,"Addon docs (RunID Migrator) - multiple deployment stages"
README.md,19,DIFFERENT,5,12,"Base README across: main branches, addon packages, canonical working tree, staging"
README.md.docx,2,IDENTICAL,1,8,"MASTER_PRODUCTION_PACKAGE/New Folder With Items/; MASTER_PRODUCTION_PACKAGE 2/"
README.txt,17,DIFFERENT,4,3,"CAD archives, macros, NextChat, addon documentation"
Refinement_Prompts.docx,2,IDENTICAL,1,42,"MASTER_PRODUCTION_PACKAGE/New Folder With Items/; MASTER_PRODUCTION_PACKAGE 2/"
Requirements_Traceabillity.docx,2,IDENTICAL,1,95,"MASTER_PRODUCTION_PACKAGE/02_Targeted_Design_RnD/; MASTER_PRODUCTION_PACKAGE 2/"
RES_MicroHydroV1_Integration_Log.docx,2,IDENTICAL,1,85,"Work/MasterIntegrated_Output/00_Admin/; Work/_stage/top/"
Results_Intake_Template.xlsx,2,IDENTICAL,1,48,"MASTER_PRODUCTION_PACKAGE/11_Bench_Test_Pack/; MASTER_PRODUCTION_PACKAGE 2/"
RetainerCap_Sketch.dxf,2,DIFFERENT,2,28,"MicroHydroV1_Shapr3D_ReferenceModel/DXF/; v2/DXF_R12/"
run_closed_loop.py,2,IDENTICAL,1,6,"MicroHydroV1 — SoT/MicroHydroV1/tools/workflow/; Work/02_Canonical_Working_Tree/"
Run_of_Show_Checklist.docx,8,DIFFERENT,2,98,"MASTER_PRODUCTION_PACKAGE; MASTER_PRODUCTION_PACKAGE 2; MicroHydroV1 — SoT; (5 copies in Work/)"
run_pipeline.py,6,IDENTICAL,1,6,"tools/ - 6 identical copies across SoT, Backup, Work branches"
RUN2_Comapre_PhiWeights.docx,2,IDENTICAL,1,145,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/"
RUN2_Summary.docx,2,IDENTICAL,1,165,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/"
RUN3_Evidence_Template.docx,8,DIFFERENT,2,125,"RUN3 AutoFill Evidence templates (PLUS & BASELINE) + main docs"
RUN3_Evidence_Template.md,2,IDENTICAL,1,9,"MicroHydroV1 — SoT/MicroHydroV1/docs/run3/; Work/02_Canonical_Working_Tree/"
RUN3_Operator_Card.md,2,IDENTICAL,1,7,"MicroHydroV1 — SoT/MicroHydroV1/docs/run3/; Work/02_Canonical_Working_Tree/"
Schauberger_Summaries.docx,2,IDENTICAL,1,125,"MASTER_PRODUCTION_PACKAGE/12_Patents/; MASTER_PRODUCTION_PACKAGE 2/"
Shapr3D_Build_Guide.md,2,DIFFERENT,1,14,"MicroHydroV1_Shapr3D_ReferenceModel/Docs/; v2/Docs/"
StageB_DataLog_Synthetic.csv,2,IDENTICAL,1,48,"MASTER_PRODUCTION_PACKAGE/CAD Archive/Full_Package/; MASTER_PRODUCTION_PACKAGE 2/MicroHydroV1_/03_Data/"
StageB_TestPlan.txt,2,IDENTICAL,1,5,"MASTER_PRODUCTION_PACKAGE/14_Reports/; MASTER_PRODUCTION_PACKAGE 2/"
Stakeholder_Presentation.pptx,2,IDENTICAL,1,385,"MASTER_PRODUCTION_PACKAGE/New Folder With Items/; MASTER_PRODUCTION_PACKAGE 2/"
Stakeholder_vNext.pptx,2,IDENTICAL,1,425,"MASTER_PRODUCTION_PACKAGE/Full_Package/; MASTER_PRODUCTION_PACKAGE 2/Documentation/"
STW_Design_Matrix_PASSB.docx,2,IDENTICAL,1,145,"MASTER_PRODUCTION_PACKAGE/02_Targeted_Design_RnD/; MASTER_PRODUCTION_PACKAGE 2/"
STW_Design_vNext.docx,2,IDENTICAL,1,125,"MASTER_PRODUCTION_PACKAGE/02_Targeted_Design_RnD/; MASTER_PRODUCTION_PACKAGE 2/"
STW_vNext_Matrix.docx,2,IDENTICAL,1,135,"MASTER_PRODUCTION_PACKAGE/Full_Package/; MASTER_PRODUCTION_PACKAGE 2/Documentation/"
System_Architecture.md.docx,2,IDENTICAL,1,75,"MASTER_PRODUCTION_PACKAGE/09_Intergrated_System_Modeling/; MASTER_PRODUCTION_PACKAGE 2/"
T001_JetCoherence_Run1.csv,8,IDENTICAL,1,5,"MASTER archives and SoT branches (multiple test data locations)"
T002_TankRipple_Run1.csv,8,IDENTICAL,1,6,"MASTER archives and SoT branches (multiple test data locations)"
T002_TankRipple_TimeSeries_Template.csv,2,IDENTICAL,1,4,"MicroHydroV1 — SoT/MicroHydroV1/docs/templates/; Work/02_Canonical/"
T003_ELC_Frequency_TimeSeries_Template.csv,2,IDENTICAL,1,3,"MicroHydroV1 — SoT/MicroHydroV1/docs/templates/; Work/02_Canonical/"
T003_ELCStability_Run1.csv,8,IDENTICAL,1,5,"MASTER archives and SoT branches (multiple test data locations)"
T004_Power_Run1.csv,8,IDENTICAL,1,7,"MASTER archives and SoT branches (multiple test data locations)"
TANK_Inlet_Comparison_RUN2.docx,2,IDENTICAL,1,156,"MASTER_PRODUCTION_PACKAGE/05_Tank_Hydraulics_Unit/; MASTER_PRODUCTION_PACKAGE 2/"
