"Hash","FileName","Path","Size"
"1A1DBE176BC233B499D35A57DB7513F2941C99AB9759F177830C9149BE99005B",".gitattributes",".gitattributes","66"
"082484F42AE6BD4615C6BC4C60532ACE7B497035EC2F870984C98C8097887762",".gitattributes","MICRO HYDRO NEW\MicroHydroV1\.gitattributes","337"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\archive\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\cad\exports\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\tests\processed\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\tests\raw\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\tests\results\drawings\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\tests\results\summary\.gitkeep","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",".gitkeep","MICRO HYDRO NEW\MicroHydroV1\workspace\.gitkeep","0"
"3BCE77CE8991631F21201455D124543508F7E82F1CAA5D39923B780A1F70941D","apply_optimized_params.py","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\cad\apply_optimized_params.py","2016"
"3BCE77CE8991631F21201455D124543508F7E82F1CAA5D39923B780A1F70941D","apply_optimized_params.py","MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\cad\apply_optimized_params.py","2016"
"57DDB0C1E65AB7021D3746D43B7E02FF18CBAAD28A09D05539E436F451AE64AE","architecture_diagram.png","MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\docs\architecture_diagram.png","1864434"
"57DDB0C1E65AB7021D3746D43B7E02FF18CBAAD28A09D05539E436F451AE64AE","architecture_diagram.png","MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\docs\architecture_diagram.png","1864434"
"57DDB0C1E65AB7021D3746D43B7E02FF18CBAAD28A09D05539E436F451AE64AE","architecture_diagram.png","MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\docs\architecture_diagram.png","1864434"
"57DDB0C1E65AB7021D3746D43B7E02FF18CBAAD28A09D05539E436F451AE64AE","architecture_diagram.png","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\architecture_diagram.png","1864434"
"57DDB0C1E65AB7021D3746D43B7E02FF18CBAAD28A09D05539E436F451AE64AE","architecture_diagram.png","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\docs\architecture_diagram.png","1864434"
"57DDB0C1E65AB7021D3746D43B7E02FF18CBAAD28A09D05539E436F451AE64AE","architecture_diagram.png","MicroHydroV1 — SoT\MicroHydroV1\docs\architecture_diagram.png","1864434"
"8D11EA9195F0042847D9C8063CBEE7ED2E130787CDF4426C8DCCF67AAFD64453","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","15654"
"8D11EA9195F0042847D9C8063CBEE7ED2E130787CDF4426C8DCCF67AAFD64453","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","15654"
"01C3B68FCC4BB9097AC30FAA91EC7C2645195332296905F70F7CE973430F25EA","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","12743"
"7A31AC538A034493D0E336911EEF0B884341CAAB51DCF844E774DCA8B72DC1AF","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","14234"
"8D11EA9195F0042847D9C8063CBEE7ED2E130787CDF4426C8DCCF67AAFD64453","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","15654"
"01C3B68FCC4BB9097AC30FAA91EC7C2645195332296905F70F7CE973430F25EA","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","12743"
"01C3B68FCC4BB9097AC30FAA91EC7C2645195332296905F70F7CE973430F25EA","autofill_evidence_doc.py","MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","12743"
"8D11EA9195F0042847D9C8063CBEE7ED2E130787CDF4426C8DCCF67AAFD64453","autofill_evidence_doc.py","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","15654"
"01C3B68FCC4BB9097AC30FAA91EC7C2645195332296905F70F7CE973430F25EA","autofill_evidence_doc.py","MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","12743"
"01C3B68FCC4BB9097AC30FAA91EC7C2645195332296905F70F7CE973430F25EA","autofill_evidence_doc.py","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","12743"
"7A31AC538A034493D0E336911EEF0B884341CAAB51DCF844E774DCA8B72DC1AF","autofill_evidence_doc.py","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","14234"
"8D11EA9195F0042847D9C8063CBEE7ED2E130787CDF4426C8DCCF67AAFD64453","autofill_evidence_doc.py","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","15654"
"01C3B68FCC4BB9097AC30FAA91EC7C2645195332296905F70F7CE973430F25EA","autofill_evidence_doc.py","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","12743"
"8D11EA9195F0042847D9C8063CBEE7ED2E130787CDF4426C8DCCF67AAFD64453","autofill_evidence_doc.py","MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MicroHydroV1\tools\workflow\autofill_evidence_doc.py","15654"
"D7B9C877F56395E29E123B3E0FA0A7C02C0C523679D8974482E9B0FF534F3A62","Bench_Test_Results_Summary.docx","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Bench_Test_Results_Summary.docx","13198"
"D7B9C877F56395E29E123B3E0FA0A7C02C0C523679D8974482E9B0FF534F3A62","Bench_Test_Results_Summary.docx","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Bench_Test_Results_Summary.docx","13198"
"BAF54E74EC6406FBEAEAF24A89529926851DFB5FC5834030C4C0B7C4E424EF1D","Bench_Test_Tracker.xlsx","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Bench_Test_Tracker.xlsx","8459"
"BAF54E74EC6406FBEAEAF24A89529926851DFB5FC5834030C4C0B7C4E424EF1D","Bench_Test_Tracker.xlsx","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Bench_Test_Tracker.xlsx","8459"
"C0C4F73F73D4ECA4CEA09B7A326B17503BCC1D948CB5A250C60D9A0ED6737B82","build_all_use_optimized.FCMacro","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\cad\build_all_use_optimized.FCMacro","715"
"C0C4F73F73D4ECA4CEA09B7A326B17503BCC1D948CB5A250C60D9A0ED6737B82","build_all_use_optimized.FCMacro","MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\cad\build_all_use_optimized.FCMacro","715"
